org_id.value,Tipo de cliente,Total_Actividades_com,Total_Llamadas_com,Llamadas_Efectivas_com,Llamadas_No_Efectivas_com,WA_Seguimiento_com,Reuniones_Hechas,Reuniones_Canceladas,Tipo Primer Contacto,Rango de Contacto,New Categories,R1yR2,Total_Actividades_exp,Total_Llamadas_exp,Llamadas_Efectivas_exp,Llamadas_No_Efectivas_exp,WA_Seguimiento_exp,Kickoff_Hechas,Kickoff_Canceladas,Capacitaciones_Hechas,Capacitaciones_Canceladas,Tipo Primera Capacitación,Onboarding,(C) (EXP) Plazo y Pago,Churn Comercial
40782.0,B,27,15,13,2,9,3,0,Efectiva,Dentro del rango,0,0,2,0,0,0,0,0,0,2,0,Hecha,No Finalizado,Anual,0
41174.0,B,33,20,13,7,12,1,0,Efectiva,Fuera del rango,0,0,3,0,0,0,0,1,0,2,0,Hecha,No Finalizado,Anual,0
41349.0,C,32,14,6,8,14,2,2,No Efectiva,Fuera del rango,0,0,4,0,0,0,1,1,0,2,0,Hecha,No Finalizado,Anual,0
41601.0,B,22,9,4,5,11,2,0,Efectiva,Fuera del rango,0,0,8,0,0,0,5,1,1,1,0,Hecha,No Finalizado,Anual,0
41661.0,B,48,33,22,11,13,2,0,No Efectiva,Fuera del rango,0,0,5,1,1,0,3,0,0,1,0,Hecha,No Finalizado,Anual,0
42057.0,B,14,10,7,3,3,1,0,No Efectiva,Fuera del rango,0,0,2,0,0,0,0,1,0,1,0,Hecha,No Finalizado,Anual,0
42152.0,B,44,20,13,7,24,0,0,No Efectiva,Fuera del rango,0,0,5,2,0,2,3,0,0,0,0,No tuvo,Finalizado,Anual,0
42491.0,B,22,15,13,2,5,2,0,No Efectiva,Fuera del rango,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Mensual,1
42743.0,B,18,9,4,5,6,3,0,No Efectiva,Fuera del rango,0,1,9,4,1,3,4,0,0,1,0,Hecha,Finalizado,Mensual,0
42944.0,C,20,10,3,7,9,1,0,Efectiva,Fuera del rango,0,0,6,3,1,2,0,1,1,1,0,Hecha,No Finalizado,Anual,0
43082.0,C,18,13,10,3,3,2,0,No Efectiva,Fuera del rango,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Mensual,1
43176.0,C,26,13,8,5,9,1,3,No Efectiva,Fuera del rango,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Anual,0
43213.0,B,4,2,2,0,1,1,0,Efectiva,Fuera del rango,0,0,1,0,0,0,0,1,0,0,0,No tuvo,No Finalizado,Mensual,0
43723.0,B,52,39,10,29,12,1,0,Efectiva,Dentro del rango,0,0,17,0,0,0,0,1,0,11,5,Hecha,No Finalizado,Anual,0
44087.0,B,11,2,1,1,7,2,0,No Efectiva,Fuera del rango,0,0,7,0,0,0,0,1,0,5,1,Hecha,No Finalizado,Anual,0
52360.0,A,16,10,8,2,4,2,0,No Efectiva,Dentro del rango,0,0,19,5,3,2,13,0,0,1,0,Hecha,No Finalizado,Anual,0
58709.0,A,12,9,4,5,2,1,0,No tuvo,Sin Llamada de primer contacto,1,0,8,4,1,3,3,0,0,1,0,Hecha,No Finalizado,Mensual,0
66678.0,A,16,5,4,1,10,1,0,Efectiva,Dentro del rango,0,0,1,0,0,0,1,0,0,0,0,No tuvo,No Finalizado,Anual,0
76246.0,A,20,8,3,5,12,0,0,No tuvo,Sin Llamada de primer contacto,1,0,3,1,1,0,0,0,0,2,0,Hecha,Finalizado,Anual,0
